"Sentence";"Word"
"Some limited changes are likely because the EU budget is supposed to be overhauled by 1999. This would, however, postpone the entry negotiations with the Central and East Europeans until after the overhaul, pushing membership back beyond the 2000 deadline";"to overhaul"
"to be up to a task  (dict.)
Mr Kozyrev had not mended his ways, said Mr Yeltsin. He was not up to his job.";"up"
"When the field was dominated by men it concentrated on male concerns: why peacocks have flashy tails (to show what good health they are in). Then women entered the field and the distaff point of view began to be examined.";"peacock"
"The best guess is that, by the time it colapsed in 1991, the Soviet Union had roughly 30,000 warheads of various shapes and sizes.";"warhead"
"But the latest twist of misfortune has prompted some unseemly delight from Eurosceptics. Look, they say, at the ghastly trap the European Union has sprung upon itself.";"ghastly"
"But the latest twist of misfortune has prompted some unseemly delight from Eurosceptics. Look, they say, at the ghastly trap the European Union has sprung upon itself.";"unseemly"
"But the latest twist of misfortune has prompted some unseemly delight from Eurosceptics. Look, they say, at the ghastly trap the European Union has sprung upon itself.";"twist"
"With unemployment at 11%, the economic mood in Western Europe was bleak enough even before last week�s disappointing economic numbers in Germany stoked  up talk of a recession.";"bleak"
"The answer, at least for species such as mankind, where the male contributes significantly to the children�s welfare, is to get a husband who will be kind, faithful and useful about the house. And then cheat on him.";"to cheat on sb."
"The damage has been done. Mr Kozyrev will twist in the wind until Mr Yeltsin finally cuts him down.";"to cut sb down to size *"
"When the field was dominated by men it concentrated on male concerns: why peacocks have flashy tails (to show what good health they are in). Then women entered the field and the distaff point of view began to be examined.
on the distaff side (R$C)";"on the distaff side (dict.)"
"It has not helped Mr Kozyrev that the recent reverseals have overlapped with the start of campaining for Russia�s parliamentary elections in December, and with early jostling for the presidential election in June.";"to jostle"
"An international system for debt work-outs already exists for bank creditors through the London Club. In the case of banks, regulatory suasion was a further factor supporting co-operation in working out arrangements that were mutally satisfactory for debt";"(moral) suasion"
"As Mexico found out, reserve levels that look very substantial can dwindle quickly.";"to dwindle"
"When capital flows taper off, the temptation for government officials is to dip into reserves, sterilising their intervention to avoid a contractionary effect on monetary policy.";"to dip"
"Countries have in the past made the mistake of pursuing ultimately incompatible monetary and exchange-rate policies, as Mexico did last year. Rarely, if ever, have they been brought to grief as quickly as was Mexico.";"grief"
"On December 20th last year, Mexico�s financial crisis began with a botched devaluation, culminating in an international bail-out plan led by the United States Treasury.";"to botch"
"After several meetings, the ambassadors ganged up and wrote a stiff letter to IMF headquarters in Washington.";"stiff"
"It is all an enjoyable polemic. But this analysis errs on three counts. It over-estimates the danger of a recession;.....";"to err"
"Dr Thornhill has not been studying cuckoldry directly. He has confined himself to the question of female orgasms.";"cuckold (desuet)"
"Leading the drive to restructure the Bank is James Wolfensohn, who took over as its president last June after a sparkling career building up his own successful Wall Street investment house.";"to build up"
"The government�s aim is to create 100,000 state-subsidised jobs for 18-25-year-olds over the next four years. At the same time, the policy presence is to be stepped up (by 4000) and special remand centres set up to cope with juvenile recidivists, for whom";"remand home"
"Men are not, for all that, utter weaklings.";"weakling"
"Despite the nursery rhyme about Jack Sprat and his wife, another disreputable thing men do is to eat both more meat and more fat than women.";"disreputable"
"Similar findings come from America. Boys there are half as likely again to be held back a grade in school at age 13; twice as likely to be in special education and twice as likely to drop out of high school altogether.";"to be held back"
"Among many animal species males are the seducing sex; females the sex that decides whether to be seduced. But a widespread pattern is that females flirt, men pounce. Among humans, this preserve is laced with rules, written or unwritten, and full of risks.";"preserve"
"Should some lucky male, having run this gauntlet, survive long enough to turn to sex with a woman, he will find he has entered a war zone where the enemy has many things, including law, on her side.";"to run the gauntlet"
"Unaccountably he finds himself asking, ""What is it all about?"" What has it all been for?"" But this familiar midlife twinge has a new, nasty twist. He is struck with existential doubt not just about himself, but about his gender as a whole.";"a twinge (of pain)"
"Licking wounds and drowning sorrows, youg men get hooked on drugs or alcohol about twice as often as women. But that leads to more violence.";"to be hooked on"
"Unaccountably he finds himself asking, ""What is it all about?"" What has it all been for?"" But this familiar midlife twinge has a new, nasty twist. He is struck with existential doubt not just about himself, but about his gender as a whole.";"twist"
"The Home Office has lost count of how many new cameras have been installed since it started doling out money for CCTV (closed-circuit television) sytems two years ago.";"to dole out"
"Such gizmos, argues Mr Trotman, will not only increase productivity by introducing something like a 24-hour day for particularly urgent projects; they will also raise creativity by allowing people from different continents to spark off each other as they ";"to spark off"
"But by the time Mr Kohl got round to unveiling the proposed reforms to parliament, negotiations with the unions had been broken off.";"to break off"
"He wants a ""sense of humanity and social impact"" to be the ethos of the institution. But for all these heartwarming sentiments, his conception of the Bank�s future role is hard to pin down.";"to pin down"
"All of this will tend to limit the greenback�s room for appreciation. So those who lap up dollars now should beware: they may later come down to earth with a bump.";"to lap up"
"Fertilisers and herbicides are often washed off the land into rivers and reservoirs. Fertilisers contain nutrients such as nitrates and phosphates which encourage algae to multiply. Algal slime sometimes chokes waterways, killing plants and fish.";"to wash off"
"At its simplest, as computers replace tractor, brain is replacing brawn. Now that they are more and more educated, women will be almost certain to start claiming their rewards.";"brawn"
"Peacocks� tails and nightingales�songs are two examples of the accoutrements to these virility tests designed to get most males killed through exhaustion, disease and violence purely so that females can tell which males have the best genes.";"accoutrements"
"Less obviously, many of the Internet�s boosters argue that it will also do away with intermediaries� other main function: distribution.";"boosters"
"Many intermediaries earn their keep by collecting information about products and their prices and thus helping consumers to get a better deal than they could by searching unaided.";"to earn one�s keep"
"And yet many consumers still begrudge travel and property agents their ""unearned"" cut. Hence the cheerful reception given to the claim of a growing band of amateur economists that middlemen are about to be tossed into the dustbin of history.";"to begrudge = to grudge"
"Put a shoal of male trout downstream from a sewage farm using those chemicals and the fish are likely to start to feminise.";"shoal"
"Recall, a moment, how men let the species down. They are proner to disease, dumber at school and more troubled at home than girls.";"dumb"
"Whatever the case, UBS is right to be wary of its suitor. After all, when CS holding took over Swiss Volksbank in 1993, it overlooked some glaring stains on the bank�s books. If CS Holding could mess up a small takeover, how will it cope with a gigantic m";"to mess up"
"Men are not, for all that, utter weaklings.";"utter"
"Men�s fate hangs by a slender thread, perhaps, but thread it is, and one of a scientifically compelling kind: for the moment, sperm is needed.";"slender"
"Why, then, do Americans continue to vote for those who vow to lock yet more people away? One reason is that fear of crime does not diminish, even when the incidence of crime falls.";"to lock away/up (in)"
"Most strikingly, many animal species use males as genetic sieves, to sift out the good genes and discard the bad. They do this by equipping males with all sorts of encumbrances and then setting them to work in competition, either beating each other up or ";"encumbrance"
"The government�s aim is to create 100,000 state-subsidised jobs for 18-25-year-olds over the next four years. At the same time, the policy presence is to be stepped up (by 4000) and special remand centres set up to cope with juvenile recidivists, for whom";"to step up"
"Most strikingly, many animal species use males as genetic sieves, to sift out the good genes and discard the bad. They do this by equipping males with all sorts of encumbrances and then setting them to work in competition, either beating each other up or ";"to sift out"
"Most strikingly, many animal species use males as genetic sieves, to sift out the good genes and discard the bad. They do this by equipping males with all sorts of encumbrances and then setting them to work in competition, either beating each other up or ";"sieve"
"And that point may be summed up by saying that once a generation, sex remixes the genes of two individuals. This spins the numbers on the genetic combination lock that seals each cell, which foils parasitic burglars such as worms, bacteria and viruses.";"to foil"
"And that point may be summed up by saying that once a generation, sex remixes the genes of two individuals. This spins the numbers on the genetic combination lock that seals each cell, which foils parasitic burglars such as worms, bacteria and viruses.";"to spin"
"Men�s fate hangs by a slender thread, perhaps, but thread it is, and one of a scientifically compelling kind: for the moment, sperm is needed.";"to hang by a thread"
"The general, hailed as a saviour by the city�s population, said that his main task would be to guarantee that local elections now under way in the region are free and fair. He promised to return to barracks just as soon as the job was done.";"barracks"
"By contrast, China�s leaders, locked in an unnerving - and seemingly never-ending - struggle to succeed Deng Xiaoping, have only China�s visceral nationalism to fall back on as their justification for holding on to power.";"to fall back on (sth) (fig)"
"The president promptly promised to outlaw the Communist party, and  to hold a referendum at the end of the month on restoring the death penalty. Next day the abolition of the party was rescinded, or at least postponed.";"to rescind"
"A clue to what is likely to happen next in Bucharest may be found in Timisoara, where in the past month events have consistently foreshadowed those in the capital.";"to foreshadow"
"Last week the president of the National Salvation Front in the Timisoara region, Mr Lorin Fortuna, was forced to resign after an unruly demonstration outside his office.";"to resign"
"As most parents of both wil tell you, bringing up a boy can be considerably more fraught and risky than bringing up a girl.";"fraught"
"Last week the president of the National Salvation Front in the Timisoara region, Mr Lorin Fortuna, was forced to resign after an unruly demonstration outside his office.";"unruly"
"But Mr Pataki (Governor of New-York) did not wait for the distict attorney (DA) to wrestle with his conscience; in an unprecedented move, he simply took Mr Johnson off the case.";"to take off"
"The general, hailed as a saviour by the city�s population, said that his main task would be to guarantee that local elections now under way in the region are free and fair. He promised to return to barracks just as soon as the job was done.";"saviour"
"To be fair, there is one big difference between this latest round of reform and previous ones. It is that Mr Wolfensohn has done his utmost to win the Bank�s staff over to his cause, rather than imposing change upon them. But the wooing has not been easy.";"to win over (to)"
"Yet, despite all these efforts, the problems of Russia�s ramshackle nuclear industry remain daunting.";"daunting"
"Of all Ceausescu�s legacies, perhaps the saddest can be found in Romania�s maternity wards.";"legacy"
"Of all Ceausescu�s legacies, perhaps the saddest can be found in Romania�s maternity wards.";"ward"
"Like many others, she had resorted to attempted self-abortion. That had caused such bad bleeding that doctors do not know whether she will survive.";"to resort"
"Like many others, she had resorted to attempted self-abortion. That had caused such bad bleeding that doctors do not know whether she will survive.";"bleeding"
"Yet, despite all these efforts, the problems of Russia�s ramshackle nuclear industry remain daunting.";"ramshackle"
"The general, hailed as a saviour by the city�s population, said that his main task would be to guarantee that local elections now under way in the region are free and fair.";"to hail"
"After several meetings, the ambassadors ganged up and wrote a stiff letter to IMF headquarters in Washington.";"to gang up against/on"
"Start with entry barriers. By slashing the costs of communicating, the Internet will indeed make it harder for a privileged few to hoard information.";"a few"
"But money-making has not proved enough of a distraction for the newly assertive China. Meanwhile, other pressures have been at work that now make the China-Taiwan tiff too dangerous to shrug off, as East Asia�s governments are still trying to do, as an ""i";"to shrug off"
"The cruise industry�s godfather is Ted Arison, a cruise executive with a passion about making the business less stuffy, who set up Carnival Cruise Lines in 1972.";"to set up"
"It can also have a potentially devastating effect on the real economy. As banks struggle to stay afloat, they will call in their outstanding loans and refuse to make new ones, creating a credit crunch that can aggravate an economic downturn.";"to call in"
"As it happens, the enlargement of the Union will involve making some welcome reforms, expecially to the protectionist farm policy, which gobbles up nearly half the budget, and to the ""structural"" funds for poorer regions, which consume much of the rest.";"to gobble up"
"Mr Jupp� sought to placate the unions by offering fresh talks on  the reforms, clarification of several misunderstandings, and a few apparent concessions. 
Such concessions look relatively modest. Will they be enough to buy the unions off?";"to buy off"
"America�s voter turnout has long been dreadful., and Oregon is no exception. In 1994, 38% of Oregon�s eligible voters cast their ballots in the May primary and 56% voted in the general election in November.";"ballot"
"In the past week Recognition Systems, a software designer, and City Technology, an environmental-technology firm, became the latest in a stream of such companies to tap investors� new-found enthusiasm by unveiling plans for a stockmarket flotati";"to tap (for)"
"Licking wounds and drowning sorrows, youg men get hooked on drugs or alcohol about twice as often as women. But that leads to more violence.";"drowning"
"Biologically, the purpose of sex is still poorly understood. There are animals and plants that get by without one.";"to get by"
"On December 20th, plummeting foreign-exchange reserves forced the newly elected president of Mexico, Ernesto Zedillo, to devalue the peso. The badly handled devaluation created panic among investors. Money poured out of the country; wihtin a month, the mi";"to pour forth/out"
"""France is at a cross-roads"" he declared (Jupp�). ""Its only choice is between change or decline. It can and must go ahead with the reforms which have already been put off for too long.""";"to put off"
"One effect of the lessons proved to be stepped-up attendance figures.";"to step up"
"With unemployment at 11%, the economic mood in Western Europe was bleak enough even before last week�s disappointing economic numbers in Germany stoked  up talk of a recession.";"to stoke up (with)"
"When a bank suddenly goes bust, its rivals may experience problems too. To see why, consider a typical, profitable bank that takes in deposits and uses the money to make long-term loans.";"to take in"
"The country is undergoing the sort of welfare-state reform that Britain and (to a lesser extent) Germany pushed through in the 1980s, and without it France�s welfare system will go bust.";"to push through"
"China wants to secure its political goals by military threats. They have already provoked the foreign intervention that China is always warning against. And Chinese efforts to ward off Taiwanese independence may prove even more counter-productive.";"to ward off"
"Certainly, a bit of confusion about internal boundaries is not necessarily ominous. After all, where borders are not formed by natural features such as rivers, a finely drawn line on the map might translate into a swathe several kilometres wide on the gro";"ominous"
"Fran�ois Mitterand shared some of the general�s (de Gaulle) suspicion that the Atlantic alliance was a tool for America�s domination of Europe. When the Russian threat waned, in the early 1990s - making a strong alliance less essential - he hankered after";"to wane"
"The French say they are open-minded about the details: what counts is that the alliance should have a more European hue.";"hue"
"One Verona remedy, accepted by all except recalcitrant Britain, is to create a new exchange-rate mechanism (ERM) to link the outs to the euro. ..As a sop to Britain and Sweden, however, joining this system will not be compulsory.";"sop"
"To make such ""tournament"" schemes work, a firm must dangle fat carrots in front of managers at each stage of the competition. Thus, a board may want to pay the chief executive a wad of cash not just to encourage him to work hard, but to encourage his subo";"to dangle"
"The snag with a safety net is that it tempts banks to take big risks in the knowledge that taxpayers will foot the bill if they fail. This danger, known as ""moral hazard"", creates a dilemma for governments.";"to foot the bill*"
"The snag with a safety net is that it tempts banks to take big risks in the knowledge that taxpayers will foot the bill if they fail. This danger, known as ""moral hazard"", creates a dilemma for governments.";"snag"
"To tackle systematic risk, governments have developed a three-legged approach. The first leg is to establish a lender of last resort, usually a country�s central bank, which will provide liquidity during a financial crisis, either to individual banks or t";"leg"
"To tackle systematic risk, governments have developed a three-legged approach. The first leg is to establish a lender of last resort, usually a country�s central bank, which will provide liquidity during a financial crisis, either to individual banks or t";"to tackle"
"One example is Continental Illinois, a bad-debt-laden American bank that ran into trouble in 1984 after several Asian and European banks cut their lending to it. When rumours began to fly that other American banks might suffer the same fate, the Fed stepp";"fate"
"To tap sb for money*  R&C";"to tap (for)"
"When do strawberries come in ? R&C";"to come in (3)"
"To earn one�s keep
I got $15 a week and my keep
He�s not worth his keep";"keep"
"There is no apparent link-up between the two cases
Is there any link-up between our company and theirs?";"link-up"
"Our advertisments gave a fillip to our business";"fillip"
"She came over faint. R&C";"to come over (1)"
"He mingles with all sorts of people";"to mingle with"
"He came over to England for a few months. R&C";"to come over (2)"
"When do I come in ? R&C";"to come in (2)"
"It all boils down to the same thing";"to boil down to"
"To plug the gap in the tax laws";"to plug"
"He was flummoxed";"to flummox"
"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";"flaw"
"Management at Florida&Light is changing its culture from that of a bureaucratic backwater to one that worships quality and service.";"to worship"
"The meter readers in Boca Raton wanted to form a team to study the problem. Under the old culture, management would have scoffed at such a notion as a waste of time.";"to scoff at"
"For years after Walt Disney�s death his ghost stalked the halls of the company�s studios in Burbank, California, causing executives to freeze in their tracks and wonder, "" What would Walt have done ?""";"to freeze in his tracks"
"The new crew, freed of the spectral overseer, began to create a culture that was more sophisticated than stodgy, more adventurous than cautious, more ambitious than content.";"stodgy"
"They have turned the company around by daring to make grownup films like The Color of Money which would have irked old Walt Disney.";"to turn things around"
"Something as simple as an award can help make a culture more innovative. The privilege instills pride and gets other employees scrambling for new ideas and products in the hope that they too may make the team.";"to instill"
"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";"to scour"
"Management at Florida&Light is changing its culture from that of a bureaucratic backwater to one that worships quality and service.";"backwater"
"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";"maverick"
"Managers seeking a way to think about the process might reflect that a company trying to improve its culture is like a person trying to improve his character. The only reason people put themselves through it is that it�s correspondingly satisfying and val";"to put through"
"During slack times when three of the four team members could easily handle the job, one could take off a few hours in the afternoon to go to a school play or bring a sick kid to the doctor.";"During slack periods"
"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";"to come off"
"After a decade of restructuring, layoffs, and astronomical CEO salaries, worker trust has taken it on the chin.";"to take it on the chin"
"Making an angry, distrustful worker a believer requires fiddling with deep-rooted values.";"distrustful"
"""It�s ludicrous to think that you can build trust unless people view you as trustworthy.""";"ludicrous"
"When people trust you, you don�t have to ride them, and that means fewer managers can oversee more people.";"to ride"
"When people trust you, you don�t have to ride them, and that means fewer managers can oversee more people.";"to oversee"
"Tandem CEO Treybig remembers suggesting that a couple of visiting managers spend a half day on the assembly line. They balked, thinking it a waste of time to mingle with blue-collar workers.";"to mingle with"
"For the past 15 years Tandem every Friday afternoon has put on its legendary get-togethers, once known as beer busts but now called popcorn parties.";"to put on"
"For the past 15 years Tandem every Friday afternoon has put on its legendary get-togethers, once known as beer busts but now called popcorn parties.";"get-together"
"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";"to hold up as an example"
"Something as simple as an award can help make a culture more innovative. The privilege instills pride and gets other employees scrambling for new ideas and products in the hope that they too may make the team.";"to scramble for"
"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";"to burn out (3)"
"The more porous the ban, the more the opportunities for illegal trading. Already South Africa and Botswana are on the smugglers�routes. An ambiguous result in Lausanne could embolden the trade and undermine enforcement efforts in Africa.";"to undermine"
"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";"to entice"
"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";"to stalk"
"Last year Japanese carvers turned and estimated 64 tons of tusks into as many as a million hanko, or personalized name seals.";"seal"
"Last year Japanese carvers turned and estimated 64 tons of tusks into as many as a million hanko, or personalized name seals.";"carver (1)"
"Over recent decades the trade became concentrated in the Far East, where ivory ornaments are highly prized. Until this year�s trade curbs. Japan, the largest consumer, took in some 40% of the world�s ivory, in contrast to about one-third for the US and Eu";"curb"
"This century saw ivory become a raw material for industry. In the 1920s thousands of elephants were butchered to meet US demands for 60.000 ivory billiard balls a year and for hundreds of thousands of piano keys.";"to butcher"
"In the past century, traders greedy for ivory attacked and burned African villages. Natives were sold into slavery and forced to shoulder the tusks out of the interior.";"greedy"
"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";"comb"
"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";"carver (2)"
"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";"cave"
"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";"creamy"
"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";"pittance"
"The more porous the ban, the more the opportunities for illegal trading. Already South Africa and Botswana are on the smugglers�routes. An ambiguous result in Lausanne could embolden the trade and undermine enforcement efforts in Africa.";"to embolden"
"An equally powerful coalition is opposed to a global ban. Those few southern African countries - Zimbabwe, Botswana and South Africa- that have not been beset by poachers cull their herds to maintain the elephant populations at optimum levels. That cullin";"to cull"
"An equally powerful coalition is opposed to a global ban. Those few southern African countries - Zimbabwe, Botswana and South Africa- that have not been beset by poachers cull their herds to maintain the elephant populations at optimum levels. That cullin";"to beset"
"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";"to beat the system"
"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";"behemoth"
"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";"to entwine"
"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";"to clack"
"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";"crack"
"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";"anklet"
"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business) Only once has Kitagawa been grazed by the ivory scandals of Africa.";"to graze"
"Noriega and Ceausescu created secret police forces to do their bidding, and both suppressed opponents without mercy.";"bidding"
"On Christmas Eve in Timisoara, the border city where the uprising against Ceausescu first bubbled up, a young woman stood in a field, rocking back and forth, crying softly.";"to bubble up"
"These bodies too had ben subjected to efforts to render them unrecognizable, an obvious attempt not only to spite those the victims left behind but also to intimidate them.";"to spite"
"Even so, nothing could dim the realization that Rumania had entered a new era.";"to dim"
"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";"to disrupt"
"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";"breeding"
"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";"to wipe out"
"In Lausanne that commitment will be tested. Japan has made admirable strides to restrict the trade, but its long-term stand remains a wild card.";"to make great strides"
"In the final days leading up to the meeting, lobbying efforts by both sides reached a frenzied level. The vote in Lausanne will not be unanimous, and any prohibition of ivory trading will be at best a patchwork.";"frenetic, frenzied"
"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";"nearby"
"In 1985 when the organization (CITES) announced its plan to register all tusks as part of an ivory-control system, conservationists hoped the illegal trade would be curbed.";"to curb"
"Some frightened poachers dump their tusks into the Ruaha River rather than risk getting caught. But it is late for Tanzania�s elephants. Between 1979 and 1987 their population plummeted from about 316.00 to 85.000.";"to dump"
"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business)";"turmoil"
"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";"to launder"
"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";"bogus"
"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";"awash"
"Some of the most blatant corruption has occurred in Tanzania. Last year a member of the country�s parliament, Alli Abdurabi, was discovered with 105 tusks.";"blatant"
"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";"predawn???"
"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";"undaunted"
"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";"crackdown"
"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";"to cut off (2)"
"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";"to lug"
"The secretariat defends its cozy relationship with the ivory business. Eugene Lapointe, CITES secretary-general, says inadequate financial support from governments left the group little choice but to turn to the trade for money.";"cosy , (US) cozy"
"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";"skull"
"Theoretically, that serial number allows nations to trace the tusk as it passes from country to country in trade. But many quotas have been ill-considered or ignored, falsified export documents have been discovered in numerous nations, and corrupt officia";"to skirt"
"Theoretically, that serial number allows nations to trace the tusk as it passes from country to country in trade. But many quotas have been ill-considered or ignored, falsified export documents have been discovered in numerous nations, and corrupt officia";"in collusion with"
"The delegates must decide whether to declare the elephant an endangered species, an action that would trigger a global ban on the international ivory trade. The proposal has sparked rancorous debate, both inside and outside Africa, over whether such a ban";"ban"
"The delegates must decide whether to declare the elephant an endangered species, an action that would trigger a global ban on the international ivory trade. The proposal has sparked rancorous debate, both inside and outside Africa, over whether such a ban";"to spark"
