ID_Idiom;Idiom;Definition;Example;DateEntry;RandomNumber;Counter;Cumul;language
20;an etwas rangehen;Mit einer Arbeit, mit einem Unternehmen beginnen;Also gehen wir ran, damit wir bis zum Abend fertig werden.;;432;0;1;d
21;auf dem Posten sein;gesund sein;Dem alten Herrn geht es gut. Er ist noch immer auf dem Posten;;1;0;0;d
22;auf dem Präsentierteller sitzen;Im Blickpunkt aller Leute sein;Das hier ist kein guter Platz. Wir sitzen hier ja wie auf dem Präsentierteller.;;1;0;0;d
23;auf dem Pulverfaß sitzen;Sich in großer Gefahr befinden;In dem Land muß man immer mit revolten rechnen. Man sitzt dort auf dem Pulverfaß.;;1;0;0;d
24;Auf die Pauke hauen;Angeben;Du hast bei meinem Vater ganz schön auf die Pauke gehauen mit deinem neuen Wagen.;;339;0;1;d
25;Auf die Pauke hauen;Groß feiern;Nach dem Exam werden wir feiern. Da werden wir kräftig auf die Pauke hauen.;;52;0;1;d
26;auf etwas herumreiten;Immer bei demselben Thema bleiben;Können wir nicht mal das Thema wechseln ? Wir müssen ja nicht immer auf derselben Sache herumreiten.;;1;0;0;d
27;auf seine Rechnung kommen;Befriedigt werden;Auf dem Ball ist jeder auf seine Rechnung gekommen.;;348;0;0;d
28;aus der Reihe tanzen;Etwas anderes tun als die übrigen.;Du kommst nicht mit uns ? Warum mußt du eigentlich immer aus der Reihe tanzen ?;;1;0;0;d
29;außer Rand und Band geraten;Aufgeregt werden;Bei der Entscheidung des Schiedsrichters gerieten die Fußballfans außer Rand und Band.;;1;0;0;d
30;bis in die Puppen;Sehr lange;Wann wollt ihr denn endlich aufstehen ? Ihr schlaft ja bis in die Puppen !;;1;0;0;d
31;Daher pfeift also der Wind;Das ist also der Grund !;Entgegen seiner sonstigen Gewohnheit ist Alfred seit einiger Zeit sehr sparsam. Er will in Kürze heiraten. Daher pfeift also der Wind !;;114;0;1;d
32;das Feld räumen;Nachgeben, aufgeben;Als der junge Mann sah, daß sein Rivale mehr Chancen bei dem Mädchen hatte, räumte er das Feld.;;148;0;1;d
33;Das hat er für einen Pappenstiel gekauft.;Das hat er sehr billig gekauft.;Dieses Grundstück hat er damals für einen Pappenstiel gekauft.;;151;0;1;d
34;das konnte ich nicht riechen;Das konnte ich nicht wissen oder ahnen;Ich konnte wirklich nicht riechen, daß du heute noch ausgehen wolltest.;;1;0;0;d
35;Das paßt mir nicht in den Kram;Ich mag das nicht, das ist mir nicht angenehm, das kommt mir ungelegen.;Daß ich heute noch Überstunden machen soll, paßt mir überhaupt nicht in den Kram.;;248;0;1;d
36;das Pulver hat er nicht erfunden;Er ist nicht klug, er ist dumm;Von dem kannst du nichts anderes erwarten. Der hat das Pulver bestimmt nicht erfunden.;;1;0;0;d
37;das Recht mit Füßen treten;Das Recht mißachten;Wenn man Gerechtigkeit erwartet, darf man das Recht des andern nicht mit Füßen treten.;;141;0;0;d
38;den Rahm abschöpfen;Sich das beste nehmen;Bei dem Geschäft hat Ihr Partner den Rahm abgeschöpft.;;1;0;0;d
39;der Mutter am Rockzipfel hängen;Unselbständig sein;Er ist als einziger Sohn sehr verwöhnt. Mit dreißig Jahren hängt er noch immer am Rockzipfel seiner Mutter.;;1;0;0;d
40;die Probe aufs Exempel machen;Etwas gründlich prüfen;Wir wollen jetzt die Probe aufs Exempel machen und sehen, ob er sein Versprechen wirklich gehalten hat.;;481;0;1;d
41;die Rechnung geht nicht auf;Es wird anders als man denkt;Wir hatten gedacht, wir könnten hier ein gutes Geschäft machen, aber unsere Rechnung ist nicht aufgegangen.;;306;0;0;d
42;die Rechnung ohne den Wirt machen;Sich täuschen, sich irren.;"Er hatte fest damit gerechnet, daß sein Vater ihm für die Reise seinen Wagen zur Verfügung stellen würde; aber er hatte die Rechnung ohne den Wirt gemacht.";;379;0;0;d
43;Diese Arbeit ist kein Pappenstiel;Diese Arbeit ist keine Kleinigkeit;Was man gestern von uns im Betrieb verlangte, war kein Pappenstiel.;;80;0;2;d
44;du bist mir der Rechte;Du machst mehr Schaden, als du nützt.;Du willst mir nun beim Aufräumen helfen und zerschlägst dabei meine schönste Vase. Du bist mir der rechte !;;341;0;0;d
45;du bist mir der Rechte;Von dir hätte ich das nicht gedacht.;Du versprachst doch, diesmal bestimmt pünktlich zu sein, und nun läßt du uns wieder über eine Stunde warten. Du bist mir der Rechte !;;331;0;0;d
46;du hast gut reden;Du kannst leicht deine Meinung sagen, weil du nicht die Schwierigkeiten hast.;Du hast gut reden. Meine Lage ist nicht so einfach, wie sie aussieht.;;54;0;0;d
47;ein wunder Punkt;eine empfindliche Stelle, eine kritische Stelle in einer Angelegenheit;Der wunde Punkt bei dir ist, daß du immer so leicht beleidigt bist.;;1;0;0;d
48;eine große  Rolle spielen;Wichtig sein;Geld spielt bei euch ja keine große Rolle.;;51;0;1;d
49;Eine gute Partie machen;Jn heiraten, der reich ist;Wie viele Mädchen träumen davon, einmal eine gute Partie zu machen.;;249;0;2;d
50;eine reine Weste haben;Unbescholten sein.;Er behauptet, an der Unterschlagung nicht beteiligt gewesen zu sein und eine reine Weste zu haben.;;159;0;0;d
51;einen guten Riecher haben;Eine feine Nase (für den Vorteil) haben, alles gleich merken.;Für ein gutes Geschäft hat sie schon immer einen guten Riecher gehabt.;;1;0;0;d
52;einer Sache einen Riegel vorschieben;Eine beabsichtigte Angelegenheit verhindern.;Den Preistreibereien gewisser Großfirmen sollte endlich ein Riegel vorgeschoben werden.;;241;0;0;d
53;er benimmt sich wie ein Elefant im Porzellanladen;Er ist plump, ungeschickt;Für geschäftliche Verhandlungen ist er gänzlich unbrauchbar. Er benimmt sich wie ein Elefant im Porzellanladen.;;1;0;0;d
54;er macht ein Gesicht wie zehn Tage Regenwetter.;Er macht ein sehr trübsinniges Gesicht.;Nanu, was ist dir denn passiert ? Du machst ja ein Gesicht wie zehn Tage Regenwetter.;;1;0;0;d
55;Er soll bleiben, wo der Pfeffer wächst;Er soll nur fortbleiben, er soll nicht kommen;Ich lege keinen Wert auf seinen Besuch, er soll bleiben, wo der Pfeffer wächst.;;1;0;0;d
56;es sieht aus wie in einer Räuberhöhle;Es sieht sehr unordentlich aus;Du solltest endlich mal dein Zimmer aufräumen. Hier sieht es ja aus wie in einer Räuberhöhle.;;1;0;0;d
57;Es steht unterm Pantoffel;Er macht alles, was seine Frau will;Im Betrieb spielt er den starken Mann und zu Hause steht er unterm Pantoffel.;;195;0;0;d
58;Es wird ihm keine Perle aus der Krone fallen;Er wird nichts von seinem Ansehen, seinem Ruf einbüßen;Es wird dir schon keine Perle aus der Krone fallen, wenn du als Mann auch mal den Kinderwagen schiebst.;;288;0;0;d
59;Etwas in petto haben;Etwas in Bereitschaft haben, etwas tun wollen;Sollte es in der Verhandlung zum Äußersten kommen, habe ich immer noch einen Trumpf in petto, den ich gegebenfalls ausspielen könnte.;;143;0;0;d
60;etwas ins reine bringen;Eine Sache in Ordnung bringen.;Bis zum nächsten Monat will der Schuldner die Sache ins reine bringen.;;231;0;0;d
61;ich kann es mir doch nicht aus den Rippen schneiden.;Ich weiß nicht, woher ich es nehmen soll.;Schon wieder willst du einen neuen Wagen haben. Wir können uns das Geld doch nicht aus den Rippen schneiden.;;1;0;0;d
62;ihn hat der Teufel geritten;Er wußte nicht, was er tat.;Wie er zu der Tat kam, kann er heute nicht mehr sagen. Ihn muß wohl der Teufel geritten haben.;;1;0;0;d
63;In der Patsche sitzen;Unannehmlichkeiten, Schwierigkeiten haben.;Ich habe vergessen, einen neuen Paß zu beantragen. Jetzt sitze ich schön in der Patsche.;;177;0;0;d
64;in die Röhre schauen;von etwas, was für alle bestimmt ist, nichts abbekommen.;Die Gäste stürzten sich sogleich auf das kalte Büffet, so daß es gleich leer war. Ich konnte nur noch in die Röhre schauen.;;1;0;0;d
65;j-m auf die Pelle rücken;J-m mit einer unangenehmen Bitte dauernd belästigen.;Rück mir doch nicht immer mit denselben Wünschen auf den Pelz. Laß dir mal was anderes einfallen.;;8;0;0;d
66;j-m auf die Pelle rücken;J-m nahe (auf den Leib) rücken;Bleib doch auf deinem Platz sitzen und rücke mir nicht dauernd auf die Pelle.;;54;0;0;d
67;j-m den Rang ablaufen;J-n übertreffen;Bei dem Tazturnier lief ein bis dahin unbekanntes Paar dem Meisterpaar den Rang ab.;;1;0;0;d
68;j-m den Rest geben;J-n zugrunde richten, j-n ruinieren.;Die Firma hatte schon immer Schwierigkeiten. Die Wirtschaftsflaute im letzten Jahr hat ihr dann endgültig den Rest gegeben.;;1;0;0;d
69;j-m etwas in den Rachen werfen;J-m etwas geben, ohne daß dieser sich darum zu bemühen brauchte.;Es ist unverständlich, warum er diesem Gauner so viel Geld in den Rachen wirft.;;187;0;0;d
70;j-m Rede und Antwort stehen;Auf j-s Fragen antworten;Er sollte wegen seiner Unkorrektheiten im Geschäft bei seinem Chef Rede und Antwort stehen.;;387;0;0;d
71;j-n aus dem Wege räumen;J-n umbringen, j-n töten;Er hätte seinen Rivalen am liebsten aus dem Wege geräumt.;;90;0;0;d
72;J-n in die Pfanne hauen;J-n bloßstellen;Du hast mich gestern ja beim Chef ganz schön in die Pfanne gehauen.;;355;0;0;d
73;j-n in die Quere kommen;J-n stören bei etwas;Bitte komm mir jetzt nicht in die Quere, ich muß noch meine Koffer packen. Und ich habe nicht mehr viel Zeit.;;1;0;0;d
74;j-n in die Quere kommen;J-s Pläne durch unerwartetes Dazwischentreten durchkreuzen;Ich ahnte doch, daß die Opposition mit ihrem Antrag der Regierung noch in die Quere kommt.;;396;0;0;d
75;j-n zur Rede stellen;Von j-m verlangen, daß er zu einer bestimmten Sache etwas sagt, oder daß er antwortet.;Wegen ihrer dreisten Lügen wurde sie von ihrer Mutter zur Rede gestellt.;;61;0;0;d
76;Jn auf die Palme bringen;Jn in Wut bringen;Steuererhöhungen können selbst den friedlichsten Bürger auf die Palme bringen.;;509;0;0;d
77;kurzen Prozeß mit etwas (mit j-m) machen.;Etwas ohne Umstände erledigen;Ich warte nicht mehr länger auf die Miete. Jetzt mache ich kurzen Prozeß und übergebe die Sache einem Rechtsanwalt.;;384;0;0;d
78;kurzen Prozeß mit j-n  machen;J-n ohne Umstände behandeln, j-n kurz abfertigen;Wegen seiner Frechheiten machte er kurzen Prozeß mit ihm und warf ihn hinaus.;;1;0;0;d
79;mit j-m (etwas) nicht zu Rande kommen;mit j-m (etwas) nicht fertig werden;Eigentlich woolte sie Lehrerin werden. Da sie aber mit den Schülern nicht zu Rande kam, hat sie ihren Plan aufgegeben.;;1;0;0;d
80;mit j-m ins reine kommen;Mit j-m einig werden;Über die Liefertermine sind wir ins reine gekommen.;;1;0;0;d
81;miteinander quitt sein;gegenseitig keine Forderungen mehr haben, eine Angelegenheit untereinander erledigt haben.;Wenn du mir jetzt noch 10 Mark gibst, sind wir miteinander quitt.;;208;0;0;d
82;nach allen Regeln der Kunst;Mit allen Mitteln;Man darf ihm nicht glauben. Er lügt nach allen Regeln der Kunst.;;38;0;0;d
83;Nach j-s Pfeife tanzen;J-m widerspruchslos gehorchen;Er ist ein Tyran, alle müssen nach seiner Pfeife tanzen.;;1;0;0;d
84;nun ist guter Rat teuer;Was soll man jetzt tun ? (redensart in einer ausgeglosen Situation).;Die Ärzte sahen die einzige Hilfe in einer Operation. Da jedoch dr körperliche Zustand des Kranken zu schlecht war, war guter Rat teuer.;;1;0;0;d
85;Pech haben;Unglück haben;Sie war im Urlaub an der See, aber sie hatte Pech mit dem Wetter.;;267;0;0;d
86;Perlen vor die Säue werfen;Etwas wertvolles an Unwürdige geben;Inge ist völlig unmusikalisch. Ihr eine Konzertkarte zu schenken, hieße Perlen vor die Säue werfen.;;400;0;0;d
87;Prinzipien reiten;Prinzipien immer wieder anwenden;Er ist ein Pedant. Selbst in Kleinigkeiten reitet er seine Prinzipien.;;1;0;0;d
88;reden, wie einem der Schnabel gewachsen ist;Ohne Überlegungen und ohne guten Stil reden;Jeder mochte den alten Mann gern. Er war so natürlich und redete, wie ihm der Schnabel gewachsen war.;;7;0;0;d
89;Reißaus nehmen;feige fliehen, ängstlich davonlaufen;Als die Jungen sahen, daß sie beim Äpfelstehlen beobachtet wurden, nahmen sie Reißaus.;;1;0;0;d
90;sein Pulver (vorzeitig) verschossen haben;Seine Mittel, Argumente, Energien verschwendet haben, bevor die eigentlichen Schwierigkeiten beginnen.;Anstatt seine besten Trümpfe noch zurückzuhalten, hat er sein ganzes Pulver schon vorzeitig verschossen.;;1;0;0;d
91;sich die Hände reiben;Sich (über den glücklichen Ausgang einer unangenehmen Sache) freuen.;Über den Abschluß eines so unerwartet großen Auftrages rieb sich der Direktor vergnügt die Hände.;;78;0;0;d
92;sich recht und schlecht durschlagen;Ein sorgenvolles, aber ehrliches Leben führen.;Er muß sich mit seiner kinderreichen Familie recht und schlecht durchschlagen.;;187;0;0;d
93;sich um etwas reißen;Etwas unbedingt haben wollen;Beim Ausverkauf reißen sich die Hausfrauen um die preiswerten Angebote.;;1;0;0;d
94;so schnell schießen die Preußen nicht;So schnell geht das nicht;Kaufst du heute den neuen Wagen ? - Nein, so schnell schießen die Preußen nicht.;;29;0;0;d
95;unter die Räder kommen;Zugrunde gehen;Wenn Sie auf Ihren leichtsinnigen Jungen nicht aufpassen, kommt er noch unter die Räder.;;436;0;0;d
96;unter die Räuber fallen;In eine üble Lage oder in schlechte Gesellschaft geraten;Macht euch keine Sorgen um mich. Mir geht es gut, und ich bin noch nicht unter die Räuber gefallen.;;1;0;0;d
97;vom Regen in die Traufe kommen;Von einer schlimmen Lage in eine noch schlimmere kommen.;Sie glaubte, sich in ihrer neuen Stellung verbessern zu können, aber sie ist vom Regen in die Traufe gekommen.;;83;0;0;d
98;wie ein begossener Pudel dastehen;Beschämt, kleinlaut sein;Was ist dir denn passiert ? Du stehst ja da wie ein begossener Pudel;;1;0;0;d
99;wie ein Buch reden;Sehr viel sprechen;Tante Olga ist eine Nervensäge, sie redet wie ein Buch;;78;0;0;d
100;Wie Pech und Schwefel aneinander hängen (fam);Unzertrennlich sein, fest zusammenhalten;Die Freunde hingen wie Pech und Schwefel aneinander.;;312;0;0;d
101;a grandes rasgos;Sin detalles, superficialmente;Como el conferenciante disponía de poco tiempo para exponer sus teorías con todo detalle, tan sólo hizo una descripción de la mismas a grandes rasgos.;20.02.1999 00:00;639;0;0;s
102;a pies juntillas;Sin ninguna sombra de duda (creer);Aunque su amiga le dijo en broma que a Antonio le había tocado la lotería, ella se lo creyó a pies juntillas.;20.02.1999 00:00;545;0;0;s
103;como Dios me dio a entender;Arreglándoselas como uno puede;No sabes que el domingo pasado se me paró el coche en mitad de la autopista? No veas què sofoco! Menos mal que, al final, como Dios me dio a entender, logré ponerlo nuevamente en marcha y pude continuar el viaje.;20.02.1999 00:00;698;0;0;s
104;a la chita callando;En secreto, con disimulo;Cuando Marìa se dio cuenta de que también estaba en la reunión su antiguo novio, salió de la sala a la chita callando.;20.02.1999 00:00;618;0;0;s
105;a pierna suelta;Con completa despreocupación (dormir);Genaro no pudo pegar ojo a causa de la tormenta. Sin embargo, su esposa durmió toda la noche a pierna suelta.;20.02.1999 00:00;413;0;0;s
106;como Dios manda;Debidamente, bien;El jefe siempre me reprocha que invierto demasiado tiempo en las tareas que me encomienda, pero es que a mí, desde pequeno, siempre me ha gustado hacer la cosas como Dios manda.;20.02.1999 00:00;700;0;0;s
107;a las tantas;A qualquier hora muy avanzada del día o de la noche;Cada vez que sale por la noche, vuelve a su casa a las tantas. Ayer, por ejemplo, llegó a las cinco de la manana.;20.02.1999 00:00;666;0;0;s
108;a sabiendas;Con conocimiento del valor, consecuencias, etc. de la acción de que se trata;Aun a sabiendas de que me molestaba, mi vecino estuvo toda la tarde dando martillazos en la vivienda de arriba.;20.02.1999 00:00;556;0;0;s
109;sin encomendarse ni a Dios ni al diablo;Irreflexivamente, sin tomar las debidas precauciones;Aun en los días más desapacibles del invierno, es frecuente que los turistas nórdicos que nos visitan se internen, sin encomendarse a Dios ni al diablo, en las no siempre mansas aguas de nuestro litoral playero.;20.02.1999 00:00;700;0;0;s
110;a quemarropa;Desde muy cerca;El ladrón encanonó con la pistola al director del Banco y le disparó dos tiros a quemarropa.;20.02.1999 00:00;553;0;0;s
111;a disguto;Con desagrado;Ya habían tenido anteriormente un cruce de palabras no precisamente carinosas, y se sentía a disguto en aquella situación embarazosa que él no había propiciado, al menos deliberadamente.;20.02.1999 00:00;630;0;0;s
112;a rajatabla;Con todo rigor, de manera absoluta;En vista de que no había dado resultado la política de buena voluntad iniciada por el equipo anterior, el nuevo ministro decidió hacer cumplir los horarios a rajatabla.;20.02.1999 00:00;683;0;0;s
113;por las buenas;de buen agrado, voluntariamente;Siempre es preferible arreglar las cosas por la buenas cuando surgen problemas por cuestiones de herencia, pues si uno se pone en manos de abogados pierde mucho tiempo y dinero.;21.02.1999 00:00;800;0;0;s
114;cada dos por tres;con mucha frecuencia;Antes no solía ir casi nunca por casa, pero desde que se mudó de domicilio nos visita cada dos por tres.;21.02.1999 00:00;800;0;0;s
115;a secas;solamente, sin otra cosa alguna;"Cuando el juez preguntó al acusado si había cometido el delito que se le imputaba, éste se limitó a contestar con un ""no"" a secas.";21.02.1999 00:00;800;0;0;s
116;a paso de tortuga;lentamente;Aquella manana los alumnos llegaron tarde a la escuela porque vinieron de sus casas a paso de tortuga.;21.02.1999 00:00;800;0;0;s
117;en un dos por tres;muy rápidamente, en poquísimo tiempo;El dependiente, que se percató de la prisa que tenía Juan, se apresuró a tranquilizarlo diciéndole que no se preocupara, que le envolvería el paquete en un dos por tres.;21.02.1999 00:00;800;0;0;s
118;a tiro hecho;con propósito deliberado y bien definido;Cuando necesito una prenda de vestir, siempre voy a tiro hecho, pues no me gusta ir de tienda probándome distintos modelos.;21.02.1999 00:00;800;0;0;s
119;a la desesperada;con un esfuerzo desesperado por lograr lo que se pretende o encontrar la salvación;Cuando el barco naufragó, los tripulantes lucharon a la desesperada contra las olas, pero perecieron en el empeno.;21.02.1999 00:00;800;0;0;s
120;a duras penas;apuradamente, con mucho trabajo;Nuestro propósito era cmprarnos una vivienda en la zona centro. Sin embargo, y por aquello de los precios altos, tuvimos que desistir de tan ingenua pretensión. Al final, a duras penas, conseguimos un piso pequeno en las afueras.;21.02.1999 00:00;800;0;0;s
121;a trancas y barrancas;con tropiezos, dificultades o interrupciones;Antonio no dedica mucho tiempo a sus estudios y va aprobando a trancas y barrancas.;21.02.1999 00:00;353;0;0;s
122;daban abasto;no entry;Aunque en aquella fiesta había una plantilla bastante numerosa de camareros, no daban abasto para servir a los invitados, que eran más de doscientos.;21.02.1999 00:00;800;0;0;s
123;estar a las duras y a las maduras;aceptar la parte o el aspecto desagradable de una cosa lo mismo que se disfruta el bueno o agradable.;Aunque en épocas de crisis, como la que estamos padeciendo, los negocios no vayan bien, no hay que perder la esperanza, Vicente. Además, en esto, al igual que ocurre con otras muchas cosas en la vida, tenemos que estar a las duras y a las maduras.;21.02.1999 00:00;800;0;0;s
124;ahuecar el ala;irse, marcharse, largarse;"Los alborotadores ahuecaron el ala cuando vieron que venía la policía; según testigos presenciales, salieron corriendo en dirreción sur.";21.02.1999 00:00;800;0;0;s
125;con la boca abierta;atónito;A la pobre anciana le arrebataron el bolso de mano con tanta rapidez, que se quedó con la boca abierta y no pudo reaccionar.;21.02.1999 00:00;800;0;0;s
126;echarse atrás;desdecirse, por ejemplo de un trato o de una promesa;Hay que ver la poca formalidad que existe hoy en día a la hora de comprar algo! Cierran el trato contigo y cuando menos te lo esperas se echan atrás y se quedan tan frescos.;21.02.1999 00:00;800;0;0;s
127;andar metido en líos;estar comprometido en situaciones difíciles;Pedro es un hombre muy pendenciero: siempre anda metido en líos.;21.02.1999 00:00;8;0;0;s
128;a bocajarro;bruscamente, sin preparación;La enfermera llamó a mi amiga por teléfono y les espetó a bocajarro que su madre había fallecido.;21.02.1999 00:00;388;0;0;s
129;crever, vider l'abcès;atteindre les racines, les causes d'un mal, d'un malaise, d'une mauvaise situation, et procéder à une épuration énergique. Allusion à l'opération chirurgicale sur un abcès.;Après avoir découvert ces scandales dans l'administration, le gouvernement a décidé de crever l'abcès: il a nommé une commission ayant pleins pouvoirs pour faire enquête.;21.02.1999 00:00;800;0;0;s
130;être aux abois;"Être désespéré; être à la dernière extrémité. La locution vient de cerf aux abois. Lorsque le cerf tombait d'épuisement, on disait qu'il était aux abois, parce que les chiens aboyaient autour de lui.";Ruiné, dévasté, n'ayant plus ni munitions ni vivres, le pays était aux abois, et le gouvernement a demandé l'armistice.;21.02.1999 00:00;800;0;0;s
131;la corne d'abondance;la richesse, la prospérité. Allusion mythologique: la corne remplie de fruits et de fleurs provenant de la chèvre Amalthée, laquelle avait nourri Jupiter;Ce n'est certes pas la corne d'abondance, mais nous sommes sûrs que ces réformes de la sécurité sociale vont aider un grand nombre de familles à mieux vivre.;21.02.1999 00:00;800;0;0;s
132;briller par son absence;facon ironique de souligner l'absence d'une personne ou de quelque chose.;Malgré la tempête, tous les élèves étaient en classe, mais le professeur, lui, brillait par son absence.;21.02.1999 00:00;800;0;0;s
133;de même acabit;terme méprisant pour dire: de même qualité, du même genre, de même nature.;Il a remporté une éclatante victoire, mais les sondages d'opinion et autres prophètes de même acabit annoncaient une défaite écrasante.;21.02.1999 00:00;800;0;0;s
134;le talon d'Achille;le point faible, vulnérable, de quelqu'un. Allusion mythologique: Achille n'était vulnérable qu'au talon.;Ses adversaires ne peuvent rien lui reprocher, sinon que sous l'occupation, il se serait compromis avec le régime de Vichy. C'est son talon d'Achille, et ils ne manquent jamais une occasion de l'attaquer sur ce point.;21.02.1999 00:00;800;0;0;s
135;a l'affût;épier, guetter, une occasion, quelque chose qui passe, qui se produit. L'affût est l'endroit où le chasseur se poste pour attendre le gibier.;Avec les journalistes, il faut être prudent et discret: ils sont toujours à l'affût des nouvelles.;21.02.1999 00:00;800;0;0;s
136;partir por el eje a alguien;causarle un gran perjuicio;Joaquín anda disgustado desde que sus padres le comunicaron que en breve se cambiarían de barrio. La verdad, tiene razón, porque, a sus anos, con la pandilla ya formada y todo, una circunstancia de esa naturaleza parte por el eje a cualquiera.;21.02.1999 00:00;151;0;0;s
137;andarse uno con rodeos;decir algo sin la claridad necesaria, o eludiendo decir la verdad;Lo mejor es no andarse con rodeos y decirle claramente lo que uno piensa.;21.02.1999 00:00;145;0;0;s
138;a pedir de boca;todo lo bien que cabe desear;El professor nos hizo preguntas tan fáciles, que el examen nos salió a pedir de boca.;21.02.1999 00:00;800;0;0;s
139;dar ejemplo;hacer algo que pueda servir de modelo positivo para alguien;Muchos educadores, en lugar de dar ejemplo ante sus alumnos, lo que hacen es incitarlos a adoptar comportamientos poco edificantes. Lo que han cambiad las cosas!;21.02.1999 00:00;800;0;0;s
140;hacérsele a alguien la boca agua;pensar con delectación en una cosa, particularmente de comer;Siempre que pasábamos por delante de la pastelería se nos hacía la boca agua al ver aquella variedad exquisita de riquísimos pasteles.;21.02.1999 00:00;800;0;0;s
141;a empellones;a empujones;El empleado del establecimiento, al ver que el alborotador desoía sus requerimientos para que abandonara el local, tomó la drástica determinación de sacarlo a la calle a empellones.;21.02.1999 00:00;607;0;0;s
142;armar una marimorena;producirse una rina, altercado, alboroto de grandes proporciones;Cuando se entere María de que su novio le ha estado poniendo los cuernos con una extranjera va a armar la marimorena.;21.02.1999 00:00;800;0;0;s
143;sin decir esta boca es mía;sin abrir la boca, sin hablar;Todos los companeros de la oficina pensaron que Alberto se había enfadado con ellos, pues había estado tres días sin decir esta boca es mía.;21.02.1999 00:00;290;0;0;s
144;no entrar ni salir alguien en cierta cosa;no intervenir o influir en ella;Ya sabes que a Remedios le gusta no poco el cotilleo. Desde luego, yo no soy así: en los asuntos que no me conciernen no entro ni salgo.;21.02.1999 00:00;800;0;0;s
145;bailarle el agua a alguien;tratar de serle grato, halagándolo o dándole en todo la razón;No cabe duda de que el procedimiento más rápido para ascender en el puesto es bailarle el agua al jefe.;21.02.1999 00:00;800;0;0;s
146;meterse a alguien en el bolsillo;ganar sus simpatías, su apoyo, conquistarlo;La actriz de la obra de teatro de anoche no trabajaba muy bien, pero era tan simpática, que se metió al público en el bolsillo.;21.02.1999 00:00;800;0;0;s
147;entre la espada y la pared;en trance de tener que decidirse por una de dos cosas igualmente malas;Ana había puesto a su marido entre la espada y la pared al espetarle que, o dejaba aquel trabajo tan absorbente que tenía, o pedía el divorcio de inmediato. Al pobre Gustavo, bien a su pesar, no le quedó más opción que consentir.;21.02.1999 00:00;23;0;1;s
148;beber los vientos por alguien;estar enamorado de alguien, desvivirse por alguien;Antonio se bebe los vientos por mi cunada Loli. Hasta tal punto está loco por ella, que no duerme pensando en cómo conseguir que le haga caso.;21.02.1999 00:00;800;0;0;s
